"g","t","x","y","a","b"
1,1,2.01681931037456,1,-0.126453810742332,-1.81635667577792
1,2,9.44675268605351,0,-0.126453810742332,-1.81635667577792
1,3,6.2911404389888,0,-0.126453810742332,-1.81635667577792
1,4,2.05974574899301,0,-0.126453810742332,-1.81635667577792
1,5,6.87022846657783,0,-0.126453810742332,-1.81635667577792
1,6,7.69841419998556,0,-0.126453810742332,-1.81635667577792
1,7,7.17618508264422,1,-0.126453810742332,-1.81635667577792
1,8,3.80035179434344,0,-0.126453810742332,-1.81635667577792
1,9,9.34705231105909,0,-0.126453810742332,-1.81635667577792
1,10,6.51673766085878,0,-0.126453810742332,-1.81635667577792
1,11,2.67220668727532,0,-0.126453810742332,-1.81635667577792
1,12,0.133903331588954,0,-0.126453810742332,-1.81635667577792
1,13,8.6969084572047,0,-0.126453810742332,-1.81635667577792
1,14,4.82080115471035,0,-0.126453810742332,-1.81635667577792
1,15,4.93541307048872,0,-0.126453810742332,-1.81635667577792
1,16,8.27373318606988,0,-0.126453810742332,-1.81635667577792
1,17,7.9423986072652,0,-0.126453810742332,-1.81635667577792
1,18,7.23710946040228,0,-0.126453810742332,-1.81635667577792
1,19,8.20946294115856,0,-0.126453810742332,-1.81635667577792
1,20,7.8293276228942,0,-0.126453810742332,-1.81635667577792
1,21,5.29719580197707,0,-0.126453810742332,-1.81635667577792
1,22,0.23331202333793,0,-0.126453810742332,-1.81635667577792
1,23,7.323137386702,0,-0.126453810742332,-1.81635667577792
1,24,4.77619622135535,0,-0.126453810742332,-1.81635667577792
1,25,4.38097107224166,0,-0.126453810742332,-1.81635667577792
1,26,0.706790471449494,0,-0.126453810742332,-1.81635667577792
1,27,3.1627170718275,0,-0.126453810742332,-1.81635667577792
1,28,6.62005076417699,0,-0.126453810742332,-1.81635667577792
1,29,9.12875924259424,0,-0.126453810742332,-1.81635667577792
1,30,4.59065726259723,0,-0.126453810742332,-1.81635667577792
1,31,6.5087046707049,0,-0.126453810742332,-1.81635667577792
1,32,4.78545248275623,0,-0.126453810742332,-1.81635667577792
1,33,0.842469143681228,1,-0.126453810742332,-1.81635667577792
1,34,3.39072937844321,0,-0.126453810742332,-1.81635667577792
1,35,3.4668348915875,0,-0.126453810742332,-1.81635667577792
1,36,4.76351245073602,0,-0.126453810742332,-1.81635667577792
1,37,8.64339470630512,0,-0.126453810742332,-1.81635667577792
1,38,7.77320698834956,1,-0.126453810742332,-1.81635667577792
1,39,4.34659484773874,0,-0.126453810742332,-1.81635667577792
1,40,3.99994368897751,0,-0.126453810742332,-1.81635667577792
1,41,7.57087148027495,0,-0.126453810742332,-1.81635667577792
1,42,7.11121222469956,0,-0.126453810742332,-1.81635667577792
1,43,2.45488513959572,0,-0.126453810742332,-1.81635667577792
1,44,2.39629415096715,0,-0.126453810742332,-1.81635667577792
1,45,6.42288258532062,0,-0.126453810742332,-1.81635667577792
1,46,7.78914677444845,0,-0.126453810742332,-1.81635667577792
1,47,4.55274453619495,0,-0.126453810742332,-1.81635667577792
1,48,8.10870242770761,0,-0.126453810742332,-1.81635667577792
1,49,6.54723928077146,0,-0.126453810742332,-1.81635667577792
1,50,2.70260145887733,1,-0.126453810742332,-1.81635667577792
2,1,9.24074469832703,1,0.841119691424425,-3.12936309608079
2,2,9.76170694921166,1,0.841119691424425,-3.12936309608079
2,3,3.56726912083104,0,0.841119691424425,-3.12936309608079
2,4,1.48211560677737,0,0.841119691424425,-3.12936309608079
